Bus Name,Departure time,Arrival Time,Price/seat
Hanif Enterprise,5:30 AM,11:30 PM,৳ 550
Hanif Enterprise,5:50 AM,2:30 PM,৳ 600
Hanif Enterprise,5:50 AM,2:30 PM,৳ 550
S.R Travels (Pvt) Ltd,6:00 AM,11:00 AM,৳ 550
Hanif Enterprise,6:15 AM,1:00 PM,৳ 550
Akota Transport,6:15 AM,11:30 AM,৳ 545
Unity,6:20 AM,1:20 PM,৳ 550
Unity,6:20 AM,1:20 PM,৳ 550
Unity,6:20 AM,1:20 PM,৳ 550
Akota Transport,6:30 AM,11:30 AM,৳ 545
Hanif Enterprise,6:30 AM,12:00 PM,৳ 550
Hanif Enterprise,6:50 AM,3:30 PM,৳ 600
Hanif Enterprise,6:50 AM,3:30 PM,৳ 550
Hanif Enterprise,7:00 AM,2:00 PM,৳ 550
Manik Express,7:00 AM,12:00 PM,৳ 1000
Akota Transport,7:00 AM,12:00 PM,৳ 545
S.R Travels (Pvt) Ltd,7:00 AM,12:00 PM,৳ 900
Orin Travels,7:15 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,7:15 AM,12:15 PM,৳ 550
Akota Transport,7:15 AM,12:30 PM,৳ 545
Unity,7:20 AM,2:20 PM,৳ 550
Unity,7:20 AM,2:20 PM,৳ 550
Unity,7:20 AM,2:20 PM,৳ 550
S.R Travels (Pvt) Ltd,7:30 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,7:30 AM,12:30 PM,৳ 1200
Hanif Enterprise,7:30 AM,3:30 PM,৳ 550
Hanif Enterprise,7:30 AM,1:30 AM,৳ 550
Nabil Paribahan,7:45 AM,11:00 AM,৳ 550
Manik Express,7:55 AM,12:30 PM,৳ 1200
Agomony Express,8:00 AM,3:00 PM,৳ 1200
Sukriya Express,8:00 AM,1:30 PM,৳ 1300
Akota Transport,8:00 AM,1:00 PM,৳ 1300
Hanif Enterprise,8:00 AM,4:40 PM,৳ 700 | ৳ 600
Sukriya Express,8:00 AM,1:30 PM,৳ 545
S.R Travels (Pvt) Ltd,8:00 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,8:15 AM,1:15 PM,৳ 650 | ৳ 550
Unity,8:20 AM,2:20 PM,৳ 1200
Unity,8:20 AM,2:20 PM,৳ 550
Unity,8:20 AM,2:20 PM,৳ 550
S.R Travels (Pvt) Ltd,8:30 AM,1:30 PM,৳ 550
Orin Travels,8:30 AM,2:00 PM,৳ 550
Akota Transport,8:30 AM,1:30 PM,৳ 550
S.R Travels (Pvt) Ltd,8:30 AM,2:00 PM,৳ 550
S.R Travels (Pvt) Ltd,8:45 AM,5:45 PM,৳ 545
Hanif Enterprise,9:00 AM,4:00 PM,৳ 550
Hanif Enterprise,9:00 AM,4:00 PM,৳ 1200
Hanif Enterprise,9:00 AM,4:00 PM,৳ 1300 | ৳ 1200
Hanif Enterprise,9:00 AM,5:30 PM,৳ 1300 | ৳ 1200
Hanif Enterprise,9:00 AM,5:30 PM,৳ 550
S.R Travels (Pvt) Ltd,9:15 AM,3:00 PM,৳ 550
S.R Travels (Pvt) Ltd,9:15 AM,2:15 PM,৳ 600
Nabil Paribahan,9:15 AM,1:00 PM,৳ 550
Unity,9:20 AM,4:20 PM,৳ 550
Unity,9:20 AM,4:20 PM,৳ 1200
Unity,9:20 AM,4:20 PM,৳ 550
Hanif Enterprise,9:30 AM,4:30 PM,৳ 550
S.R Travels (Pvt) Ltd,9:30 AM,2:30 PM,৳ 550
Orin Travels,9:30 AM,4:30 PM,৳ 550
Akota Transport,9:30 AM,2:30 PM,৳ 550
Hanif Enterprise,9:30 AM,3:30 AM,৳ 550
S.R Travels (Pvt) Ltd,10:00 AM,3:00 PM,৳ 550
Manik Express,10:00 AM,3:00 PM,৳ 545
Akota Transport,10:00 AM,3:00 PM,৳ 550
Nabil Paribahan,10:00 AM,6:00 PM,৳ 900
Unity,10:00 AM,4:20 PM,৳ 1200
Unity,10:00 AM,4:20 PM,৳ 1200
Unity,10:00 AM,4:20 PM,৳ 545
S.R Travels (Pvt) Ltd,10:15 AM,3:15 PM,৳ 1300
Akota Transport,10:15 AM,3:15 PM,৳ 1300
S.R Travels (Pvt) Ltd,10:30 AM,3:30 PM,৳ 550
Orin Travels,10:30 AM,6:00 PM,৳ 550
Alhamra Paribahan,10:30 AM,7:00 PM,৳ 550
S.R Travels (Pvt) Ltd,10:30 AM,4:00 PM,৳ 1200
Hanif Enterprise,10:30 AM,6:30 PM,৳ 650
S.R Travels (Pvt) Ltd,10:30 AM,3:30 PM,৳ 550
Nabil Paribahan,10:30 AM,2:30 PM,৳ 1000
Hanif Enterprise,10:30 AM,7:10 PM,৳ 1200
S.R Travels (Pvt) Ltd,10:45 AM,3:45 PM,৳ 700
Akota Transport,10:50 AM,3:50 PM,৳ 550
Unity,11:00 AM,7:20 AM,৳ 700
Manik Express,11:00 AM,4:00 PM,৳ 550
Hanif Enterprise,11:00 AM,6:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:15 AM,5:15 PM,৳ 1200
S.R Travels (Pvt) Ltd,11:15 AM,4:45 PM,৳ 545
S.R Travels (Pvt) Ltd,11:15 AM,4:15 PM,৳ 550
Orin Travels,11:15 AM,6:00 PM,৳ 1000
Akota Transport,11:30 AM,4:30 PM,৳ 550
S.R Travels (Pvt) Ltd,11:30 AM,4:30 PM,৳ 550
Hanif Enterprise,11:30 AM,6:30 PM,৳ 550
Hanif Enterprise,11:30 AM,5:30 AM,৳ 1200
Hanif Enterprise,11:30 AM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:45 AM,5:45 PM,৳ 545
S.R Travels (Pvt) Ltd,12:00 PM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,12:15 PM,5:45 PM,৳ 550
S.R Travels (Pvt) Ltd,12:15 PM,6:45 PM,৳ 550
Rongdhonu Express,12:30 PM,7:30 PM,৳ 550
Hanif Enterprise,12:30 PM,7:30 PM,৳ 900
Hanif Enterprise,12:30 PM,9:00 PM,৳ 550
Hanif Enterprise,12:30 PM,6:00 PM,৳ 550
Hanif Enterprise,12:30 PM,9:10 PM,৳ 550
Akota Transport,12:30 PM,5:30 PM,৳ 800
S.R Travels (Pvt) Ltd,12:45 PM,5:45 PM,৳ 550
Akota Transport,1:00 PM,6:00 PM,৳ 600
Manik Express,1:00 PM,6:00 PM,৳ 550
Unity,1:00 PM,7:00 PM,৳ 550
Unity,1:00 PM,7:00 PM,৳ 545
Alhamra Paribahan,1:00 PM,7:00 PM,৳ 1200
Orin Travels,1:00 PM,6:15 PM,৳ 545
S.R Travels (Pvt) Ltd,1:00 PM,6:00 PM,৳ 800
Unity,1:00 PM,7:00 PM,৳ 550
Orin Travels,1:15 PM,7:15 PM,৳ 550
Akota Transport,1:30 PM,6:30 PM,৳ 1000
S.R Travels (Pvt) Ltd,1:30 PM,7:30 PM,৳ 550
S.R Travels (Pvt) Ltd,1:30 PM,7:00 PM,৳ 550
Hanif Enterprise,2:00 PM,10:40 PM,৳ 550
Orin Travels,2:00 PM,7:15 PM,৳ 800
Nabil Paribahan,2:00 PM,7:00 PM,৳ 545
Akota Transport,2:00 PM,7:00 PM,৳ 550
Rongdhonu Express,2:00 PM,9:00 PM,৳ 550
Hanif Enterprise,2:00 PM,8:00 AM,৳ 550
Hanif Enterprise,2:30 PM,8:00 PM,৳ 550
Manik Express,2:30 PM,7:30 PM,৳ 800
S.R Travels (Pvt) Ltd,2:30 PM,7:30 PM,৳ 545
Hanif Enterprise,2:50 PM,11:30 PM,৳ 800
S.R Travels (Pvt) Ltd,3:00 PM,8:00 PM,৳ 550
Hanif Enterprise,3:00 PM,10:00 PM,৳ 550
Orin Travels,3:00 PM,9:00 PM,৳ 1200
Alhamra Paribahan,3:00 PM,9:00 PM,৳ 1200
Hanif Enterprise,3:00 PM,11:40 PM,৳ 550
Akota Transport,3:00 PM,8:00 PM,৳ 550
S.R Travels (Pvt) Ltd,3:15 PM,8:15 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 800
