Bus name,Departure time,arrival time,price/seat
Tungipara Express,4:45 AM,9:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:00 AM,11:30 AM,৳ 650
Ena Transport (Pvt) Ltd,5:30 AM,11:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:40 AM,9:40 AM,৳ 650
Ena Transport (Pvt) Ltd,5:45 AM,10:00 AM,৳ 650
Dola Paribahan Ltd,5:45 AM,10:45 AM,৳ 700 | ৳ 650
Dola Paribahan Ltd,5:45 AM,10:45 AM,৳ 650 | ৳ 600
Dola Paribahan Ltd,5:45 AM,10:45 AM,৳ 650 | ৳ 600
Dola Paribahan Ltd,5:45 AM,10:45 AM,৳ 700 | ৳ 650
Ena Transport (Pvt) Ltd,6:00 AM,12:00 PM,৳ 900
Emad Paribahan(Pvt.)Ltd.,6:00 AM,2:00 PM,৳ 650
Ena Transport (Pvt) Ltd,6:00 AM,2:00 PM,৳ 800
Hanif Enterprise,6:00 AM,11:30 AM,৳ 700
Ena Transport (Pvt) Ltd,6:00 AM,12:00 PM,৳ 900
Tungipara Express,6:00 AM,3:30 AM,৳ 700
Hanif Enterprise,6:00 AM,11:30 AM,৳ 650
Ena Transport (Pvt) Ltd,6:15 AM,11:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:15 AM,2:15 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:15 AM,2:15 PM,৳ 650
Ena Transport (Pvt) Ltd,6:15 AM,11:30 AM,৳ 700
Ena Transport (Pvt) Ltd,6:30 AM,12:30 PM,৳ 700
Dola Paribahan Ltd,6:30 AM,11:30 AM,৳ 650 | ৳ 600
Dola Paribahan Ltd,6:30 AM,11:30 AM,৳ 700 | ৳ 650
Dola Paribahan Ltd,6:30 AM,11:30 AM,৳ 650 | ৳ 600
Hanif Enterprise,6:30 AM,1:45 PM,৳ 750
Tungipara Express,6:30 AM,10:00 AM,৳ 650
Dola Paribahan Ltd,6:30 AM,11:30 AM,৳ 700 | ৳ 650
Ena Transport (Pvt) Ltd,6:30 AM,12:45 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:40 AM,12:30 PM,৳ 650
Hanif Enterprise,6:45 AM,3:00 PM,৳ 700
Ena Transport (Pvt) Ltd,7:00 AM,2:00 PM,৳ 650
Ena Transport (Pvt) Ltd,7:00 AM,11:45 AM,৳ 650
Tungipara Express,7:00 AM,2:00 PM,৳ 650
Hanif Enterprise,7:00 AM,12:30 PM,৳ 700
Hanif Enterprise,7:00 AM,12:30 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,7:00 AM,3:00 PM,৳ 650
SHOHAGH PARIBAHAN,7:15 AM,3:15 PM,৳ 1200
SHOHAGH PARIBAHAN,7:15 AM,3:15 PM,৳ 1200
Tungipara Express,7:15 AM,9:30 AM,৳ 650
Tungipara Express,7:20 AM,3:30 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,7:20 AM,2:20 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,7:20 AM,3:20 PM,৳ 650
Hanif Enterprise,7:30 AM,3:15 PM,৳ 750
Ena Transport (Pvt) Ltd,7:30 AM,1:00 PM,৳ 650
Tungipara Express,7:55 AM,12:55 PM,৳ 800
Tungipara Express,8:00 AM,4:00 PM,৳ 650
SHOHAGH PARIBAHAN,8:00 AM,4:00 PM,৳ 900
Emad Paribahan(Pvt.)Ltd.,8:00 AM,4:00 PM,৳ 650
Tungipara Express,8:05 AM,12:45 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,8:10 AM,1:30 PM,৳ 650
Hanif Enterprise,8:30 AM,2:00 PM,৳ 650
Ena Transport (Pvt) Ltd,8:30 AM,12:00 PM,৳ 650
SHOHAGH PARIBAHAN,8:30 AM,4:30 PM,৳ 1200
Hanif Enterprise,8:30 AM,2:00 PM,৳ 700
Tungipara Express,8:40 AM,2:00 PM,৳ 650
