Bus name,Departure time,arrival Time,Price/seat
Evergreen Transport Ltd,3:30 AM,10:00 AM,৳ 1000
Akota Transport,6:00 AM,12:00 PM,৳ 1300
Hanif Enterprise,6:00 AM,11:50 AM,৳ 690
KTC Hanif,6:15 AM,1:00 PM,৳ 690
Akota Transport,6:30 AM,1:30 PM,৳ 690
Hanif Enterprise,6:45 AM,12:35 PM,৳ 690
Akota Transport,7:00 AM,12:04 AM,৳ 690
KTC Hanif,7:00 AM,1:45 PM,৳ 690
Hanif Enterprise,7:15 AM,1:05 PM,৳ 690
Akota Transport,7:30 AM,12:34 AM,৳ 690
KTC Hanif,7:45 AM,2:45 PM,৳ 690
Akota Transport,8:00 AM,3:00 PM,৳ 690
Hanif Enterprise,8:00 AM,1:50 PM,৳ 690
KTC Hanif,8:45 AM,6:00 PM,৳ 690
KTC Hanif,8:45 AM,4:00 PM,৳ 690
Akota Transport,8:45 AM,4:00 PM,৳ 690
Hanif Enterprise,9:00 AM,1:05 PM,৳ 690
Hanif Enterprise,9:30 AM,3:30 PM,৳ 690
Akota Transport,9:30 AM,5:00 PM,৳ 800
KTC Hanif,9:30 AM,4:30 PM,৳ 690
KTC Hanif,9:45 AM,7:00 PM,৳ 690
Akota Transport,10:15 AM,5:15 PM,৳ 690
KTC Hanif,10:30 AM,5:30 PM,৳ 690
Hanif Enterprise,11:00 AM,4:50 PM,৳ 690
Akota Transport,11:00 AM,6:00 PM,৳ 690
Akota Transport,11:30 AM,4:34 AM,৳ 690
KTC Hanif,11:45 AM,6:45 PM,৳ 690
Akota Transport,12:00 PM,6:30 PM,৳ 690
Hanif Enterprise,12:30 PM,6:20 PM,৳ 690
Akota Transport,12:30 PM,7:00 PM,৳ 750
KTC Hanif,12:45 PM,7:45 PM,৳ 690
Akota Transport,1:00 PM,7:30 PM,৳ 690
Hanif Enterprise,1:00 PM,6:50 PM,৳ 690
Akota Transport,1:30 PM,8:00 PM,৳ 690
KTC Hanif,1:45 PM,8:30 PM,৳ 690
Hanif Enterprise,2:00 PM,7:50 PM,৳ 690
Akota Transport,2:00 PM,9:00 PM,৳ 690
Akota Transport,2:30 PM,9:45 PM,৳ 690
Hanif Enterprise,3:00 PM,8:50 PM,৳ 690
Akota Transport,3:00 PM,10:00 PM,৳ 690
Akota Transport,3:30 PM,10:45 PM,৳ 690
KTC Hanif,3:30 PM,10:30 PM,৳ 690
Akota Transport,4:00 PM,11:00 PM,৳ 690
Akota Transport,4:30 PM,11:45 PM,৳ 690
KTC Hanif,4:30 PM,11:30 PM,৳ 690
Akota Transport,5:00 PM,12:00 AM,৳ 690
Akota Transport,5:30 PM,12:45 AM,৳ 690
KTC Hanif,5:30 PM,12:15 AM,৳ 690
Akota Transport,6:00 PM,1:00 AM,৳ 690
KTC Hanif,6:30 PM,1:30 AM,৳ 690
Akota Transport,6:30 PM,1:30 AM,৳ 690
Hanif Enterprise,7:00 PM,12:50 AM,৳ 690
Akota Transport,7:30 PM,2:45 AM,৳ 690
KTC Hanif,8:00 PM,3:00 AM,৳ 690
Akota Transport,8:00 PM,3:00 AM,৳ 690
Akota Transport,8:30 PM,3:30 AM,৳ 690
Hanif Enterprise,9:00 PM,2:50 AM,৳ 690
KTC Hanif,9:15 PM,5:15 AM,৳ 690
Akota Transport,9:30 PM,4:30 AM,৳ 690
Akota Transport,9:45 PM,4:45 AM,৳ 690
KTC Hanif,9:45 PM,5:45 AM,৳ 690
Hanif Enterprise,10:00 PM,4:30 AM,৳ 690
Akota Transport,10:00 PM,5:00 AM,৳ 690
Hanif Enterprise,10:15 PM,4:05 AM,৳ 690
Akota Transport,10:15 PM,5:15 AM,৳ 750
Hanif Enterprise,10:30 PM,4:20 AM,৳ 690
Akota Transport,10:30 PM,5:30 AM,৳ 690
Akota Transport,10:45 PM,5:45 AM,৳ 690
KTC Hanif,11:00 PM,6:00 AM,৳ 690
Hanif Enterprise,11:00 PM,4:50 AM,৳ 690
Akota Transport,11:00 PM,6:00 AM,৳ 690
KTC Hanif,11:15 PM,8:15 AM,৳ 690
Akota Transport,11:30 PM,6:30 AM,৳ 750
KTC Hanif,11:30 PM,6:15 AM,৳ 690
Evergreen Transport Ltd,11:30 PM,6:30 AM,৳ 690
Evergreen Transport Ltd,11:45 PM,6:00 AM,৳ 1300
Hanif Enterprise,11:55 PM,5:45 AM,৳ 1300
KTC Hanif,11:55 PM,6:55 AM,৳ 1000
Akota Transport,11:55 PM,6:55 AM,৳ 800
KTC Hanif,11:59 PM,6:59 AM,৳ 690
