Hanif Enterprise,06:15 AM,01:00 PM,40,৳ 800
Ena Transport (Pvt) Ltd,06:30 AM,03:00 PM,40,৳ 800
S.R Travels (Pvt) Ltd,06:45 AM,02:45 PM,40,৳ 800
Hanif Enterprise,07:00 AM,02:00 PM,40,৳ 800
Nabil Paribahan,07:30 AM,02:30 PM,38,৳ 800
S.R Travels (Pvt) Ltd,07:30 AM,03:30 PM,39,৳ 800
Hanif Enterprise,07:30 AM,05:30 PM,40,৳ 800
S.R Travels (Pvt) Ltd,07:30 AM,02:30 PM,21,৳ 1500
Hanif Enterprise,07:30 AM,03:30 PM,40,৳ 800
S.R Travels (Pvt) Ltd,07:45 AM,03:45 PM,40,৳ 800
Nabil Paribahan,07:45 AM,02:30 PM,40,৳ 800
Nabil Paribahan,08:00 AM,03:00 AM,38,৳ 800
Hanif Enterprise,08:00 AM,06:00 PM,37,৳ 800
Agomony Express,08:00 AM,02:30 PM,25,৳ 1500
Hanif Enterprise,08:00 AM,06:30 PM,37,৳ 1500
Manik Express,08:30 AM,04:30 PM,40,৳ 800
Nabil Paribahan,08:30 AM,03:30 PM,39,৳ 800
Haque Enterprise,08:45 AM,04:15 PM,40,৳ 800
S.R Travels (Pvt) Ltd,08:45 AM,03:45 PM,25,৳ 800
Hanif Enterprise,09:00 AM,06:00 PM,40,৳ 1500
Hanif Enterprise,09:00 AM,06:00 PM,32,৳ 800
Hanif Enterprise,09:00 AM,02:00 PM,40,৳ 1500 | ৳ 1400
Hanif Enterprise,09:00 AM,04:00 PM,35,৳ 1500 | ৳ 1400
Ena Transport (Pvt) Ltd,09:00 AM,05:30 PM,40,৳ 800
Hanif Enterprise,09:00 AM,04:00 PM,32,৳ 800
Nabil Paribahan,09:00 AM,04:00 PM,40,৳ 800
S.R Travels (Pvt) Ltd,09:15 AM,05:15 PM,40,৳ 1500 | ৳ 1400
Nabil Paribahan,09:15 AM,03:45 PM,40,৳ 1500 | ৳ 1400
Nabil Paribahan,09:30 AM,05:30 PM,40,৳ 800
Hanif Enterprise,09:30 AM,05:30 PM,40,৳ 800
Nabil Paribahan,09:30 AM,05:30 PM,40,৳ 800
S.R Travels (Pvt) Ltd,09:45 AM,05:45 PM,40,৳ 800
Hanif Enterprise,10:00 AM,09:00 PM,41,৳ 800
S.R Travels (Pvt) Ltd,10:00 AM,05:00 PM,40,৳ 800
Nabil Paribahan,10:00 AM,05:00 PM,34,৳ 800
Ena Transport (Pvt) Ltd,10:00 AM,07:30 PM,31,৳ 800
S.R Travels (Pvt) Ltd,10:30 AM,05:30 PM,34,৳ 800
Nabil Paribahan,10:30 AM,05:30 PM,40,৳ 1500
Nabil Paribahan,10:30 AM,05:30 PM,40,৳ 1500
S.R Travels (Pvt) Ltd,10:45 AM,06:45 PM,24,৳ 900
Hanif Enterprise,11:00 AM,04:00 PM,40,৳ 900
S.R Travels (Pvt) Ltd,11:00 AM,07:00 PM,40,৳ 800
Hanif Enterprise,11:30 AM,06:30 PM,36,৳ 800
Hanif Enterprise,11:30 AM,10:00 PM,41,৳ 1500
Ena Transport (Pvt) Ltd,11:30 AM,08:00 PM,40,৳ 800
Nabil Paribahan,11:30 AM,06:00 PM,40,৳ 800
S.R Travels (Pvt) Ltd,12:15 PM,08:15 PM,40,৳ 800
Rongdhonu Express,12:30 PM,07:30 PM,40,৳ 800
Hanif Enterprise,12:30 PM,07:30 PM,40,৳ 800
Ena Transport (Pvt) Ltd,12:30 PM,09:30 PM,36,৳ 800
