The Arrosto, 4.2 stars 1 | 466 Reviews, 1st Floor |  Besides the king of Chittagong |  15 O.R Nizam Road |  Panchlaish Minar Building |  15 O.R. Nizam Rd
Handi Restaurant, 4.0 stars 5 | 834 Reviews, 9R3C+WMP M M Ali Road |  Punak Bhaban |  CDA Ave
Barcode Cafe, 4.2 stars 3 | 959 Reviews, Jalil Building |  62 East Nasirabad |  B B Road |  2 Number Gate |  N106
Sultan’s Dine - Chittagong, 4.0 stars 2 | 076 Reviews, East Nasirabad Mosque |  SAF Arcadia |  4000 Bayazid Bostami Rd
Saffron Restaurant Chittagong, 3.9 stars 712 Reviews, 3rd Floor |  Saheb Miya সাহেব মিয়া মার্কেট |  39 Momin Rd
Da Signature Restaurant, 3.9 stars 1 | 071 Reviews, CPDL Khan Manor |  84/A |  Ground Floor (Opposite Of Press Club |  Jamal Khan Rd
Food Factory Chittagong, 4.1 stars 196 Reviews, Abdul Hannan Rd
Kashbon restaurant Chittagong Bahaddarhat moor, 3.7 stars 879 Reviews, Circle |  1st Floor |  Hussain Plaza |  A G Road
Ambrosia Restaurant Ltd, 4.2 stars 2 | 686 Reviews, 1053 |  Ground Floor & 1st Floor |  Jiban Bima Bhaban |  Sheikh Mujib Rd
Lotus Restaurant, 3.9 stars 107 Reviews, 131 |  Hazi Yakub Ali Building |  K.B Fazlul Kader Road |  Pabortak Mor Opposite Chittagong Medical College Auditorium Nasirabaad |  Panchlaish |  Sholosohor
Tava Restaurant & Lounge, 4.1 stars 1 | 061 Reviews, 4 Zakir Hossain Rd
Lemongrass Restaurant, 4.0 stars 1 | 734 Reviews, Agrabad C/A S.Alam Center |  58 Sabdar Ali Rd
Impala Chinese and South Indian Restaurant, 4.0 stars 1 | 261 Reviews, 136 O.R. Nizam Rd
Pitstop Restaurant, 4.1 stars 1 | 861 Reviews, 8RX9+2WF |  CDA Avenue |  Ispahani Circle |  Lalkhan Bazar Cir
Grand Mughal Restaurant, 4.1 stars 1 | 061 Reviews, CMP Plaza
Bir Chattala, 4.2 stars 3 | 737 Reviews, 8RXM+724 |  87 Shahid Saifuddin Khaled Rd
Meal City, 4.1 stars 1 | 073 Reviews, Equity Centrium |  5th floor G.E.C Circle NCC Bank Building |  O. R. Nizam Rd R/A Rd
Lake Dine Restaurant, 3.7 stars 1 | 486 Reviews, 8RXH+9VH |  S.S Khaled Road |  West Side Of Ashkar Dighi |  Ashkar Dighirpar
Cafe Milano, 4.1 stars 2 | 980 Reviews, 89/309 |  Yakub Trade Center (Level-5) |  |  Beside Badsha Mia Petrol Pump |  East Nasirabad
The Pavilion, 4.1 stars 1 | 034 Reviews, 2nd floor |  Avenue Center |  787 Avenue Center |  787 CDA Ave
Aheli Restaurant, 3.9 stars 400 Reviews, Baitul Aman Market |  GEC Circel |  CDA Avenue |  943 O.R. Nizam Rd
Bellpepper Restaurant, 3.9 stars 958 Reviews, 63 |  Zinnurine Complex |  Ground Floor |  2 No. Gate
Cafe Milano, 4.1 stars 2 | 980 Reviews, 89/309 |  Yakub Trade Center (Level-5) |  |  Beside Badsha Mia Petrol Pump |  East Nasirabad
The Pavilion, 4.1 stars 1 | 034 Reviews, 2nd floor |  Avenue Center |  787 Avenue Center |  787 CDA Ave
Gharana Restaurant, 4.1 stars 917 Reviews, C a |  93 Agrabad Access Rd
Mejjainna Bari, 4.1 stars 1 | 614 Reviews, H.No |  14 |  Nasirabad Housing Society |  Road No 4 |  Behind Chittagong Shopping Complex |  Sholashahar |  Nasirabad
Laguna Restaurent |  The Peninsula Chittagong, 4.3 stars 103 Reviews, 9R5C+4PG |  CDA Ave
Sabuj Hotel & Restaurant, 4.0 stars 1 | 244 Reviews, তেলিপাট্টি সড়ক
Dawat Multi Cuisine Restaurant, 4.0 stars 1 | 738 Reviews, 67 Jamal Khan Rd
Swapnil Restaurant, 4.0 stars 224 Reviews, 46 |  Buddhist Temple Road
Curry Pot Restaurant, 4.1 stars 302 Reviews, RF Police Plaza |  Buddist Temple Rd
Meridian Hotel & Restaurant, 3.9 stars 1 | 463 Reviews, 94 |  8th Floor & Rooftop |  Eves Center |  Nasirabad Housing Society |  Road No 3 |  Nasirabad
Errante, 4.0 stars 1 | 319 Reviews, Chemistry and Zoology Building |  নবাব সিরাজুদ্দৌল্লা সড়ক
Chittagong Food, 3.9 stars 84 Reviews, O.R. Nizam Rd
SugarBun Restaurant, 4.0 stars 512 Reviews, 94/103 |  Katalgonj Road পাচঁলাইশ |  Chittagong
Parkview Hospital Restaurant, 4.1 stars 53 Reviews, 805/B |  JB Complex |  CDA Avenue |  GEC Mor
Pizza Hut Chittagong, 4.2 stars 3 | 509 Reviews, Level: 3 |  Rahim's Plaza De CPDL |  Holding No: 34/163 |  Ward No: 13 |  P.S.-Khulshi |  Chattogram City Corporation
Club Grille, 4.4 stars 206 Reviews, 9R8G+J86 |  Ground Floor |  Chittagong Shopping Complex |  CDA Avenue |  Sholashahar |  Nasirabad
Mr. Cafe, 3.7 stars 99 Reviews, 129 | KB Fazlul Kader Road |  Chattogram Medical East Gate K.B. Fazlul Kader Road 129 | KB Fazlul Kader |  Road |  Medical East Gate
Kentucky restaurant, 4.0 stars 501 Reviews, Level-8/9 |  89/309 |  Yakub Trade Center |  Beside Badsha Mia Petrol Pump |  Bayazid Bostami Road |  East Nasirabad
Wind of Change - Rooftop Restaurant & Lounge, 3.9 stars 1 | 681 Reviews, Shop No.: 201-203 |  1st Floor |  Highway Plaza |  600 |  CDA Avenue |  Ispahani Circle |  Lalkhan Bazar
Appetito, 4.1 stars 244 Reviews, Opposite MES College 1715 |  Zakir Hossain Rd
ক্যাপসিকাম এরাবিয়ান হাউজ, 3.8 stars 706 Reviews, College Rd
Chittagong Dine - চিটাগাং ডাইন, 3.9 stars 67 Reviews, 486/B |  O.R. Nizam Rd
Flamingo Cafe, 3.9 stars 43 Reviews, 787/863 M M |  Mohammed Ali Rd
The Eatalia |  chittagong, 4.0 stars 375 Reviews, 67 Jamal Khan Rd
Grand Shikdar Restaurant, 3.8 stars 947 Reviews, Sattar Chamber 99 Agrabad |  C/A Commerce College Road
Silver Spoon, 4.1 stars 2 | 670 Reviews, Road # 01 |  Plot # 02 |  O.R. Nizam Road |  GEC |  4000  |  Bangladesh |  Plot # 2 |  Road No. 1
Mohora Restaurant, 4.0 stars 50 Reviews, 6th Floor |  Innovative Bhuiyan Orchid |  1025/A Bayazid Bostami Rd
KRAVE, 4.3 stars 716 Reviews, 74 Station Rd
