Fly Dining Cox's Bazar, 4.8 stars 470 Reviews, Shugandha Point
Mermaid Cafe, 4.2 stars 2 | 559 Reviews, Near Dragon Mart |  Kolatoli Road |  Sugandha Beach Sea In point |  Hotel Motel
Poushee Hotel & Restaurant, 4.2 stars 4 | 775 Reviews, Hotel Sayeman Rd
Shalik Restaurant & Biriyani House, 3.9 stars 4 | 491 Reviews, Near Cox's Bazar International University Cox's Bazar-Himchari Road |  Dolphin Mor
Ruposhi Bangla Restaurant, 4.1 stars 3 | 682 Reviews, Shugondha Point |  Beside of Hotel Silver Bay |  New Beach Rd
Al-Goni Restaurant, 4.1 stars 2 | 446 Reviews, CXVF+V8X |  Police Station Rd
Handi (Cox's Bazar Branch), 3.8 stars 4 | 250 Reviews, Hotel Ovishar |  Sea Laboni Point |  Laboni Beach Rd
Salt Bistro & Cafe, 4.3 stars 1 | 843 Reviews, 10 |  Kalatoli |  Hotel-Motel Zone
Casablanca Restaurant, 4.3 stars 217 Reviews, CX7M+JP5
Sandy Beach Restaurant, 4.0 stars 532 Reviews, Near Kolatoli Circle |  Marine Drive |  Road
Jhawban Restaurant, 4.0 stars 3 | 177 Reviews, H.No 0001-00 |  Mukti Joddha Sarani |  4700 Hotel Sayeman Rd
Koyla Restaurant Cox’s, 4.0 stars 711 Reviews, CXHC+6VG Laboni Point |  Near Stadium |  Laboni Beach Rd
Kasundi Restora Ltd. |  Cox's Bazar, 4.0 stars 551 Reviews, Laboni Beach Rd
Niribili Restaurant, 3.7 stars 3 | 664 Reviews, New Beach Rd
Cafe 14, 4.1 stars 314 Reviews, Hotel-Motel Zone |  Near At KFC |  14 |  Road
Al Goni restaurant., 4.2 stars 766 Reviews, New Beach Rd
Sea Lamp Beach Cafe, 4.1 stars 958 Reviews, Near At Alif Kolatoli Circle |  Main Drive Road |  Kolatoli New Sea Beach
KFC | Cox’s Bazar, 3.9 stars 3 | 099 Reviews, Plot No 08 |  Block A |  Kalatoli Road |  New Beach Rd
Captain's Beach Restaurant, 4.8 stars 29 Reviews, Sugondha Beach |  Sughandha Beach Rd
Pasta Club Cox's Bazar, 3.9 stars 404 Reviews, CXRJ+XJ5 |  Ghata Main Rd
Rannaghar restaurant, 3.9 stars 789 Reviews, Opposite land Survey Office |  Old Hotel Sayeman Rd
Kasundi Restora Ltd. |  Cox's Bazar, 4.0 stars 551 Reviews, Laboni Beach Rd
স্টার কাবাব রেস্তোরাঁ, 4.1 stars 45 Reviews, CXFJ+F95 |  Near At Hotel Regal Palace |  Main Road
Salt Bistro & Cafe, 4.3 stars 1 | 843 Reviews, 10 |  Kalatoli |  Hotel-Motel Zone
Sea Food Restaurant, 4.0 stars 180 Reviews, CXGH+GV9 |  Near At Mohammodia Guest House |  Light House Road Shaikat Residential Area
Hossain's Biryani House, 4.3 stars 43 Reviews, CXQC+WJF |  PTI Rd
Mermaid Cafe, 4.2 stars 2 | 559 Reviews, Near Dragon Mart |  Kolatoli Road |  Sugandha Beach Sea In point |  Hotel Motel
Jamal Mess & Restaurant, 4.4 stars 50 Reviews, CXVF+VQP |  Beside Hotel Taj Shebar |  Thanar Pichon Road Lal Dighir Cox'sbazar
Maasranga Restaurant, 3.7 stars 122 Reviews, Near At Mohammodia Guest House |  Kolatoli Road
Sandy Beach Restaurant, 4.0 stars 532 Reviews, Near Kolatoli Circle |  Marine Drive |  Road
Poushee Restaurant, 3.8 stars 148 Reviews, Devine |  Road
Biram Restaurant And Biriyani House, 3.7 stars 385 Reviews, Near Baitur Rahman Jamme Mosjid |  Lal Dighir Par Main Road |  Cox'sbazar
Handi (Cox's Bazar Branch), 3.8 stars 4 | 250 Reviews, Hotel Ovishar |  Sea Laboni Point |  Laboni Beach Rd
Poushee Hotel & Restaurant, 4.0 stars 484 Reviews, World Beach Resort |  Dolphin Moor
Poushee Bangla Restora & Biriyani House 2nd Branch, 4.0 stars 30 Reviews, CXGH+JRW
Koyla Restaurant Cox’s, 4.0 stars 711 Reviews, CXHC+6VG Laboni Point |  Near Stadium |  Laboni Beach Rd
meet & eat burmiz market cox's bazar, 4.6 stars 19 Reviews, hazera burmiz market
তাওয়া এক্সপ্রেস, 3.8 stars 204 Reviews, Plot-1 |  Block-B |  Near Hotel |  Silver Bay |  New Beach Road
Beach Biram Restaurant & Biryani House, 3.9 stars 97 Reviews, 16 New Beach Rd
Hadi Restaurant and Bar-B-Q, 3.7 stars 115 Reviews, CXFG+4Q2 |  Sughandha Beach Rd
Tastease Kolatoli, 4.3 stars 46 Reviews, Shop: 06 |  adjecent to 99 Bridal House |  Dolphin Moor
Patil Restaurent, 4.0 stars 21 Reviews, House-74 |  Block-B |  Near at Shamim Guest House R/A B-Block Road
Sahara Restaurant, 4.3 stars 7 Reviews, Western Plaza
চুইঝাল রেস্টুরেন্ট | Chui jhal Restaurant  |  Cox's Bazar, 4.5 stars 37 Reviews, জেল গেইট
Sizzle Cox's Bazar, 4.1 stars 94 Reviews, CXVH+4PH |  R180
Vojonbari Restaurant, 3.8 stars 67 Reviews, CXFJ+28F |  North Side Of Sea Palace |  Kalatoli Road
Jhawbagan Restaurant and Biryani House, 3.9 stars 303 Reviews, 52 R/A Block - B Rd
Sea Lamp Beach Cafe, 4.1 stars 958 Reviews, Near At Alif Kolatoli Circle |  Main Drive Road |  Kolatoli New Sea Beach
Albatross Restaurant, 4.4 stars 30 Reviews, CX7M+WCR |  New Beach Rd
শ্বশুরবাড়ী রেষ্টুরেন্ট - Shashurbari Restaurant Cox's Bazar, 4.5 stars 12 Reviews, Plot No 5 |  Block C |  MR Travel BD 4700 |  Road
Tastease, 4.0 stars 184 Reviews, Shafique Center
Jui Restaurant, 4.3 stars 29 Reviews, Plot 24 |  Block C |  Road
Cheers Beachfront Cafe, 3.8 stars 181 Reviews, Suganda Beach
Taranga, 3.9 stars 346 Reviews, Plot No. 10 |  Road No. 01 |  Sea Beach Near Baitun Mamur Jame Mosjid Sugandha Beach Road
LA ROSA Café and Bakery, 4.2 stars 37 Reviews, CXRC+GH3 |  Hotel Sayeman Rd
Cox Kutum Bari Bar-Bi-Que & Restaurant, 3.6 stars 683 Reviews, Plot No 10 |  Near Resort Islandia |  Block C Hotel Motel Zone |  Near At Hotel |  Sea Palace Ltd |  New Beach Road
Daruchini Restora, 3.8 stars 352 Reviews, CXFJ+F37 |  Near Peace Garden |  Block A |  kolatoli Road Sungandha point
Shalik Restaurant & Biriyani House, 3.9 stars 4 | 491 Reviews, Near Cox's Bazar International University Cox's Bazar-Himchari Road |  Dolphin Mor
The Cafe 64 Buffet Restaurant, 4.7 stars 10 Reviews, CXFH+WQH |  New Beach Rd
Pasta Club Cox's Bazar, 3.9 stars 404 Reviews, CXRJ+XJ5 |  Ghata Main Rd
KOFTE |  Cafe & Restaurant, 4.0 stars 11 Reviews, Goal digirpar
New Mezbani Restaurant, 3.8 stars 461 Reviews, CXFJ+R2X |  Behind Silver Bay Hotel |  Sugandha point |  Road
The Food Park Cafe, 4.0 stars 37 Reviews, Plot No 41 |  Near At Morsheda Resort Light house Road |  Block B
Sea Level Cafe, 4.0 stars 47 Reviews, Sattar's Villa
TONG - The Food Village, 3.7 stars 136 Reviews, CXCJ+W6C |  New Beach Rd
Poushi Bangla Restora - পউষী বাংলা রেস্তোরা, 3.7 stars 568 Reviews, Shams Plaza |  Sugondha Point |  Beach Road
Cafe 14, 4.1 stars 314 Reviews, Hotel-Motel Zone |  Near At KFC |  14 |  Road
Broast cafe, 4.1 stars 438 Reviews, New Beach Rd
Hazi Biryani, 3.4 stars 121 Reviews, CXGH+CGW |  Near Long Beach Outside |  Kolatoli Road
Garlic Restaurant & Cafe, 4.0 stars 33 Reviews, Cox's Bazar Medical College Rd
শেফরন রেষ্টুরেন্ট, 4.1 stars 64 Reviews, Plot # 60 |  Block # B |  PWD R/A
সিকদার টাওয়ার, 5.0 stars 1 Reviews, C2G4+V8V
Cox's Bazar Sea Food Restaurant, 4.2 stars 47 Reviews, CXCJ+6X6 |  New Beach Rd
Royal Food Thai Chinese & Fast food Restaurant, 4.1 stars 15 Reviews, Shop No: 01 |  Rahman Manshion |  Near Soikot Tower |  Bazar - Ghata Main Rd
Kashful Restora, 3.5 stars 68 Reviews, Plot-10 |  Saint Martin Resort |  Near Mohammodia Guest House |  Kolatoli Road
KFC | Cox’s Bazar, 3.9 stars 3 | 099 Reviews, Plot No 08 |  Block A |  Kalatoli Road |  New Beach Rd
Coxiyana, 4.1 stars 23 Reviews, Laboni Beach Rd
Silver Bay Restaurant, 3.5 stars 88 Reviews, CXFH+VWC Silver Bay |  Near |  New Beach Rd
Oasis By Hotel Prime Park, 4.4 stars 28 Reviews, Hotel Prime Park
New Green Chili Restaurant, 4.2 stars 20 Reviews, Burmese market
Cox Dine, 4.4 stars 9 Reviews, 492 Cox's Bazar Marine Dr
Mag-Darin Seafood Restaurant & Kids Entertainment, 4.2 stars 487 Reviews, Shugodha point |  New Beach Rd
Cox's Bazar |  Sugandha point |  Block#B |  plot no- 27, 4.4 stars 5 Reviews, CXRH+J64 |  Garir Mart Rd
Hindu Restaurant, 4.1 stars 11 Reviews, New Beach Rd
Pizza Palace, 3.5 stars 57 Reviews, Link Road Bus Stop |  N1
Chicken Club (Fast Food & Juice Bar), 4.0 stars 22 Reviews, CXGH+2MQ |  New Beach Rd
Dew Drop Restaurant, 4.0 stars 3 Reviews, Laboni Point |  Beach Park |  Shop-0 |  Parjatan Zinuk Market Near Hotel Kollol |  Laboni Beach Road |  Main Beach
Second Home Kitchen & Juice Bar, 4.0 stars 362 Reviews, Kolatoli road |  Near Sugondha point
Waffle Time Cox’s Bazar, 4.3 stars 28 Reviews, Plot-61 |  Block-B |  Hotel Bay Marina |  PWD Residential Area Near At South Beach Resort |  Kalatoli Road
Coral Food & Cafe, 3.9 stars 16 Reviews, Near Public Works Department |  Main Road |  Light House
Hotel Media International Ltd, 4.1 stars 1 | 402 Reviews, Sugondha Point | Kolatoli Road
মা রেস্তোরাঁ, 3.7 stars 87 Reviews, Plot-22 |  Block-C |  Grace Cox Smart Hotel |  Sea Laboni Beach Rd
