Aquadeck |  InterContinental Dhaka, 4.7 stars 272 Reviews, 1 Minto Rd
Attitude Restaurant at Holiday Inn Dhaka City Centre, 4.7 stars 10 Reviews, 23 Shaheed Taj Uddin Ahmed Sharani
Chalet Restaurant & Bar, 4.4 stars 3 | 006 Reviews, 45 |  Saudia Trade Center |  Kazi Nazrul Islam Ave
Breeze Restaurant, 4.3 stars 423 Reviews, House# 1/C |  1/D |  Road# 16
Sung Garden, 4.1 stars 1 | 545 Reviews, Akram Tower | 14th floor 15/5 |  Shahid Syed Nazrul Islam Sharani |  5 Bijoy Nagar Road
Seasonal Tastes, 4.5 stars 664 Reviews, The Westin |  Main Gulshan Ave
The Rainy Roof Restaurant, 4.4 stars 434 Reviews, 12th Floor 7-9 |  Bangladesh Textile Mills Corporation Bhaban
Cafe Eden, 4.3 stars 2 | 015 Reviews, House: 1 |  Road: 56/61
Pinewood Cafe + Kitchen, 4.3 stars 2 | 445 Reviews, House 48 Road No 13C
Koreana Restaurant |  Dhaka., 4.4 stars 2 | 585 Reviews, House No |  22 Rd 123
Prego, 4.4 stars 167 Reviews, The Westin |  Main Gulshan Ave
C House Milano |  Bangladesh, 4.5 stars 590 Reviews, Gulshan Centre Point
HAKKA DHAKA, 4.1 stars 1 | 211 Reviews, 2 Bailey Rd
Dhaka Foods, 3.7 stars 507 Reviews, Hazi Abdul Latif Mansion |  Ka 9/A |  Bashundhara Rd
Palm View Restaurant, 4.3 stars 2 | 220 Reviews, Level 7 |  117/A |  Puraton |  Rangs Bhaban |  Bijay Sarani |  Biman Bondor Sarak
Thai Chi Restaurant & Cafe, 4.1 stars 5 | 228 Reviews, 65 Gulshan Ave
Hongbao, 4.5 stars 414 Reviews, House: 61 |  Road: 15 |  Block: D
Villa Azzur, 4.3 stars 365 Reviews, House no. 2 |  Road No 32 |  Mirpur Rd
Santoor Restaurant, 4.1 stars 1 | 955 Reviews, House 14 |  House 14 Road No. 11
Sajna Restaurant, 4.2 stars 2 | 540 Reviews, House-8 Rd 101
Soi 71, 4.2 stars 1 | 413 Reviews, 6 |  E F DIT Rd
Restaurant, 4.1 stars 21 Reviews, I/A |  1208 Bir Uttam Mir Shawkat Sarak
Terracotta Tales, 4.3 stars 2 | 128 Reviews, 1000 |  1/1 Rupayan Taj |  Box |  Culvert Road
Weston Restaurant, 4.2 stars 742 Reviews, Navana Rowshan Sayed Plaza |  House # 47 |  4th Floor
HAKKA DHAKA, 4.2 stars 2 | 153 Reviews, 45 |  Saudia Trade Center |  Kazi Nazrul Islam Ave
Chalet Restaurant & Bar, 4.4 stars 3 | 006 Reviews, 16/1 Malibag Chowdhury para |  DIT Rd
Abul Hotel, 4.0 stars 10 | 353 Reviews, Rangs FC Enclave  |  2nd floor |  Road 32 |  Plot 6/A Gulshan Ave
Bella Italia, 4.3 stars 1 | 998 Reviews, House no. 2 |  Road No 32 |  Mirpur Rd
Santoor Restaurant, 4.1 stars 1 | 955 Reviews, 12th Floor 7-9 |  Bangladesh Textile Mills Corporation Bhaban
The Rainy Roof Restaurant, 4.4 stars 434 Reviews, House 55/B Rd No # 21
Barcode Cafe, 4.3 stars 4 | 231 Reviews, 23 Shaheed Taj Uddin Ahmed Sharani
Attitude Restaurant at Holiday Inn Dhaka City Centre, 4.7 stars 10 Reviews, 11 |  Holding #32 |  Block G (Level 5
Meat Church, 4.6 stars 441 Reviews, Level 6 |  Anannya Shopping Complex
Obor Restaurant-丝路驿站中餐厅BARIDHARA, 4.6 stars 156 Reviews, House No 54 |  Road No 10A |  Satmasjid Road
Palm View Restaurant, 4.3 stars 2 | 220 Reviews, House No |  63 Road No. 17/A
BANGKOK DINING, 4.1 stars 39 Reviews, House 33/2 |  Shakariya Mosque Goli
Jatra Biroti, 4.2 stars 3 | 431 Reviews, Borak |  Unique Heights |  117 Kazi Nazrul Islam Ave
Ramen food Dhaka, 5.0 stars 12 Reviews, 05 new circular road | 1217
Cielo Rooftop, 4.1 stars 1 | 700 Reviews, Tower of Akash |  54 Gulshan Ave
Atiya's Kitchen, 5.0 stars 1 Reviews, Akram Tower | 14th floor 15/5 |  Shahid Syed Nazrul Islam Sharani |  5 Bijoy Nagar Road
Farzi Café Dhaka, 4.1 stars 649 Reviews, 5th Floor |  Plot 47 |  Block H Road No. 11
