Panshi Restaurant, 4.2 stars 17 | 687 Reviews, Jallarpar Rd
Alpine Restaurant, 3.9 stars 2 | 241 Reviews, Chowhatta |  Karimganj - Sylhet Rd
Pach Bhai Restaurant, 4.3 stars 16 | 020 Reviews, Jallarpar Rd
Unoon Restaurant, 4.1 stars 613 Reviews, Level-6 |  Al-Madani Tower |  Karimganj - Sylhet Rd
The Diner, 3.6 stars 334 Reviews, East Zindabazar |  Baruthkhana Rd
Woondaal King Kebab, 4.1 stars 2 | 803 Reviews, Besides Brac Bank |  Ahmed Trade Centre |  Baruthkhana Rd
Cafe Aarko | Best restaurant in Sylhet, 4.1 stars 628 Reviews, 101 |  Kakoli Shopping Center
Shawarma House, 3.7 stars 329 Reviews, Kashish |  7 Nayasarak (Above
Rain Terrace | Best Italian Restaurant in Sylhet, 4.1 stars 137 Reviews, 684 Purbo
Kazi Asparagus Food Island Sylhet, 4.1 stars 2 | 912 Reviews, 7 Nayasarak Rd
Nawab's Kitchen, 4.2 stars 965 Reviews, Kamria Complex |  Barutkhana |  East
Sylhet Food Palace, 3.8 stars 240 Reviews, Near Jama Masjid |  Kumarpara Point
Curry Royal, 3.6 stars 123 Reviews, 10th Floor |  City Center |  Zinda Bazar Point
Spicy Restaurant & Party Center, 4.0 stars 1 | 362 Reviews, 4th Floor |  BYC Complex |  Kumarpara Rd
Hungry Station, 3.9 stars 767 Reviews, VVQR+W58 |  Main Road
Bay Leaf Chinese Restaurant, 3.6 stars 352 Reviews, Jallarpar Rd
Utan Restaurant Sylhet, 3.7 stars 33 Reviews, Nayasarak Point |  Manik Pir Road
The Mad Grill, 4.3 stars 2 | 196 Reviews, 2nd floor |  Al-Madani Tower
Yōkoso, 4.4 stars 350 Reviews, সাহিব শপিং কমপ্লেক্স |  Purbani Shopping Complex |  Baruthkhana Rd
Royal Dine, 4.3 stars 173 Reviews, VVW9+6V3 Shohir Plaza
Palki Restaurant, 3.9 stars 1 | 740 Reviews, Rainbow Complex
The Cinnamon Restaurant & Party Center, 4.0 stars 133 Reviews, Jallarpar Rd
Rainbow Chinese Restaurant, 3.9 stars 539 Reviews, Dhaka-Sylhet Road
Utan Restaurant Sylhet, 3.7 stars 33 Reviews, VVVR+H8V
বৈঠকখানা, 4.1 stars 61 Reviews, 1st Floor |  Sahib Shopping Complex |  west Zindabazar |  Baruthkhana Rd
Saffron Restaurant, 4.0 stars 1 | 682 Reviews, Al-Amin Complex |  2nd Floor |  Hazrat Shahjalal Rd
The Prince Restaurant & Party Center, 3.9 stars 180 Reviews, VVVV+WH5 পূর্ব শিবগঞ্জ |  সিলেট। |  Opposite to Sayad Hatim Ali Mazar |  East Shebgonj |  Sylhet. সৈয়দ হাতিম আলি মাজারের বিপরীতে |  Tamabil Rd
Food Lounge, 4.0 stars 329 Reviews, Bihongo |  25/A Kazitula Rd
কেবাব গার্ডেন, 4.2 stars 607 Reviews, E Dhopa Dighir Par
Mezban Bari Restaurant, 3.8 stars 290 Reviews, WV29+V6X |  Near AB bank |  Dargah Gate
SEASONS Restaurant & Café, 4.3 stars 815 Reviews, Niloy 5
Kebabish Original, 4.1 stars 538 Reviews, Baruthkhana Rd
Royal Kitchen, 4.1 stars 283 Reviews, VVW8+5JQ
MEATUP, 4.4 stars 1 | 171 Reviews, WV48+7WH |  Ishak Complex |  Sunamgonj Road |  West
The Swad Restaurant and party centre, 4.0 stars 457 Reviews, Kumarpara Complex |  Kumarpara Rd
Parallax Restaurant & Party Center, 4.1 stars 95 Reviews, Kazi Asparagus Food Island |  Plat no-684 |  outlet no-03 East
Titanic Restaurant, 3.5 stars 733 Reviews, Leis Super Market |  Sylhet - Sunamganj Hwy
Platinum Lounge, 4.0 stars 775 Reviews, 4th Floor |  Blue Water Shopping City |  Zindabazar
Salt Bae, 4.6 stars 174 Reviews, Kumarpara Rd
Cafe Zero Live Cuisine And Takeaway, 3.5 stars 72 Reviews, 1st Floor |  Rashid Emporium |  Dargah Gate
Ishtikutum Chinese Restaurant, 3.8 stars 311 Reviews, Opposite Brac Bank |  Baruthkhana Rd
Kebab Cottage (K.T.4), 4.2 stars 286 Reviews, VVW9+P95
New Mughal Masala, 3.8 stars 107 Reviews, 4th |  Manru Shopping City
Cine Vibe restaurant, 4.0 stars 239 Reviews, ground floor |  lovely complex |  61 Dargah Gate
Khaddo Bivagio Canteen & Restaurant, 4.0 stars 3 Reviews, 758 |  Mirza Jangal Rd
New Langthurai Chinese Restaurant & Party Center, 3.6 stars 218 Reviews, Al Hamra Shopping City
Zafran Restaurant, 3.9 stars 355 Reviews, Bandar Bazar Rd
Royal Chef Restaurant & Party Center, 3.8 stars 617 Reviews, Chandrima Complex |  Police Line Rd
