hotel name,currency,price,properties
Hotel Noorjahan Grand,USD,29,This property offers: | Breakfast | +5
The Grand Hotel BD,USD,29,This property offers: | Breakfast | Free WiFi
Rahma's B&B,USD,12,This property offers: | Breakfast | Free WiFi
Hotel Grand Shah Kamal,USD,15,This property offers: | Breakfast | Parking | +2
Hotel Mira Garden,USD,24,This property offers: | Breakfast | Parking | Free WiFi
Rose View Hotel,USD,54,This property offers: | Breakfast | Parking | +2
Nirvana Inn Hotel Complex,USD,31,This property offers: | Breakfast | Parking | +2
Grand Sylhet Hotel & Resort,USD,79,This property offers: | Breakfast | Local breakfast | +4
Jatra Flagship Sylhet City Centre,USD,18,This property offers: | Breakfast | Parking | +2
La Vista Hotel,USD,20,This property offers: | Parking | Free WiFi
Hotel Ali Plaza,USD,15,This property offers: | Breakfast | Parking | Free WiFi
Holy Inn Sylhet,USD,19,This property offers: | Breakfast | Parking | +2
Hotel Supreme,USD,24,This property offers: | Breakfast | Parking | Free WiFi
Hotel Grand Surma,USD,20,This property offers: | Breakfast
Hotel Metro International,USD,25,This property offers: | Parking | Free WiFi
Richmond Hotel and Apartments,USD,18,This property offers: | Breakfast | Parking | Free WiFi
Hotel Grand Akther Sylhet,USD,24,This property offers: | Breakfast
New Hotel Grand View,USD,14,This property offers: | Breakfast | Parking | +2
Hotel Farmis Garden,USD,18,This property offers: | Breakfast | Parking | Free WiFi
Hotel River View Sylhet,USD,20,This property offers: | Free parking | Air conditioning | +1
GRAND MAFI,USD,36,This property offers: | Washer | Air conditioning | Kitchen
Moshahid Ali House,USD,17,This property offers: | Breakfast | Parking | +2
Your home Away,USD,22,This property offers: | Breakfast | Parking
Dusai Resort & Spa,USD,64,This property offers: | Breakfast | Parking | Free WiFi
Hotel Holy Gate,USD,24,This property offers: | Free parking | Air conditioning | +1
Grand Palace Hotel & Resorts Sylhet,USD,40,This property offers: | Breakfast | Express check-in
Hotel Istanbul,USD,44,This property offers: | Parking | Express check-in | Free WiFi
Ashiana Serviced Apartment,USD,12,This property offers: | Breakfast | Parking
Hotel Star Pacific,USD,19,This property offers: | Breakfast | Parking | +2
Hotel Grand Brothers,USD,40,This property offers: | Parking | Express check-in | Free WiFi
Nirapod Holiday Home,USD,20,This property offers: | Breakfast | Parking | Free WiFi
Hotel Crystal Rose - Sylhet,USD,20,This property offers: | Front desk [24-hour] | Free parking | +3
Hotel Dallas sylhet,USD,13,This property offers: | Breakfast | Parking | Free WiFi
Nazimgarh Resorts,USD,35,This property offers: | Breakfast | Parking
Hotel Valley Garden,USD,15,This property offers: | Breakfast | Parking
ApartmenT - Homestays,USD,29,This property offers: | Parking | Express check-in
Grand Mostafa Hotel Ababil,USD,14,This property offers: | Breakfast | Parking | +2
Almas Hotel Sylhet,USD,12,This property offers: | Parking | Free WiFi
Hotel Garden Inn,USD,36,This property offers: | Free parking | Wi-Fi | +2
Sunapur Mini Resort Sylhet,USD,51,This property offers: | Breakfast | Parking | Free WiFi
Bottomhill Palace Hotel,USD,34,This property offers: | Parking | Express check-in | Free WiFi
Saanha Windtrip,USD,27,This property offers: | Breakfast
Aminvilla resort,USD,46,This property offers: | Free WiFi
Nirvana Inn,USD,17,This property offers: | Free parking | Kitchen
Royal Palm Hotel,USD,38,This property offers: | Free parking | Washer | +3
La Rose Hotel,USD,170,This property offers: | Shuttle service | +4
Shibgonj Bed and Breakfast,USD,43,This property offers: | Free parking
Rainagar rajbari,USD,38,This property offers: | Breakfast | Parking | Free WiFi
Dream house,USD,17,This property offers: | Free parking | Air conditioning | +2
Modern 3 Bedroom Flat in Sylhet,USD,63,This property offers: | Parking | Free WiFi
Mirabazar,USD,17,This property offers: | Free parking | Air conditioning | +1
Rainbow Guest House,USD,50,This property offers: | Breakfast | Parking | Free WiFi
